Title,Area,Price,Rooms,Floor,Square-meter,Area-text,Elevator,Air-condition,Refurbished,Furniture
ישראל מסלנט ,ers\sara levi\PycharmProjects\apartments-analysis\data\south,"4,700 ₪",3,3,70 ," שפירא, תל אביב יפו ",False,False,False,False
לבנדה ,ers\sara levi\PycharmProjects\apartments-analysis\data\south,"1,500 ₪",1,2,30 ," שפירא, תל אביב יפו ",False,True,True,True
מטלון 75,ers\sara levi\PycharmProjects\apartments-analysis\data\south,"2,400 ₪",1,1,15 ," נווה שאנן, תל אביב יפו ",False,False,True,True
גבעת בן יהודה 10,ers\sara levi\PycharmProjects\apartments-analysis\data\south,לא צוין מחיר,7,קרקע,300 ," שפירא, תל אביב יפו ",False,True,True,False
מבשר 53,ers\sara levi\PycharmProjects\apartments-analysis\data\south,"3,600 ₪",2,3,40 ," התקוה, בית יעקב, נווה צה""ל, תל אביב יפו ",False,True,True,True
איתיאל 27,ers\sara levi\PycharmProjects\apartments-analysis\data\south,"5,000 ₪",4,2,100 ," התקוה, בית יעקב, נווה צה""ל, תל אביב יפו ",True,True,True,False
שיבת ציון 20,ers\sara levi\PycharmProjects\apartments-analysis\data\south,"3,900 ₪",2.5,3,63 ," נווה שאנן, תל אביב יפו ",False,True,False,False
נתן הנביא ,ers\sara levi\PycharmProjects\apartments-analysis\data\south,"2,900 ₪",1.5,קרקע,25 ," התקוה, בית יעקב, נווה צה""ל, תל אביב יפו ",False,True,True,False
י.ל. פרץ 38,ers\sara levi\PycharmProjects\apartments-analysis\data\south,"6,300 ₪",3,5,100 ," נווה שאנן, תל אביב יפו ",True,True,True,False
גולומב 27,ers\sara levi\PycharmProjects\apartments-analysis\data\south,"4,500 ₪",3,1,60 ," שפירא, תל אביב יפו ",False,True,True,True
נווה שאנן ,ers\sara levi\PycharmProjects\apartments-analysis\data\south,"4,500 ₪",2,4,50 ," נווה שאנן, תל אביב יפו ",True,True,True,False
ידעיה הפניני ,ers\sara levi\PycharmProjects\apartments-analysis\data\south,"3,500 ₪",1,1,27 ," שפירא, תל אביב יפו ",False,True,True,False
נתן הנביא ,ers\sara levi\PycharmProjects\apartments-analysis\data\south,"2,900 ₪",2,2,45 ," התקוה, בית יעקב, נווה צה""ל, תל אביב יפו ",False,True,True,False
דרך ההגנה 100,ers\sara levi\PycharmProjects\apartments-analysis\data\south,"4,200 ₪",2.5,קרקע,75 ," התקוה, בית יעקב, נווה צה""ל, תל אביב יפו ",False,True,True,False
לבנדה 23,ers\sara levi\PycharmProjects\apartments-analysis\data\south,"2,500 ₪",1,2,24 ," נווה שאנן, תל אביב יפו ",False,True,False,True
בר יוחאי 47,ers\sara levi\PycharmProjects\apartments-analysis\data\south,"3,500 ₪",1,קרקע,31 ," שפירא, תל אביב יפו ",False,True,False,True
חזנוביץ' ,ers\sara levi\PycharmProjects\apartments-analysis\data\south,"6,500 ₪",3,3,75 ," נווה שאנן, תל אביב יפו ",True,True,False,True
ראש פינה ,ers\sara levi\PycharmProjects\apartments-analysis\data\south,"5,200 ₪",3,4,55 ," נווה שאנן, תל אביב יפו ",True,True,True,False
יאיר ,ers\sara levi\PycharmProjects\apartments-analysis\data\south,"2,300 ₪",1,קרקע,20 ," התקוה, בית יעקב, נווה צה""ל, תל אביב יפו ",False,True,True,False
ראש פינה 24,ers\sara levi\PycharmProjects\apartments-analysis\data\south,"5,400 ₪",3,1,71 ," נווה שאנן, תל אביב יפו ",True,True,False,True
גולומב 5,ers\sara levi\PycharmProjects\apartments-analysis\data\south,"7,500 ₪",4,1,130 ," שפירא, תל אביב יפו ",False,False,True,False
חזנוביץ' 12,ers\sara levi\PycharmProjects\apartments-analysis\data\south,"8,000 ₪",4,4,90 ," נווה שאנן, תל אביב יפו ",True,True,True,False
שדרות הר ציון 30,ers\sara levi\PycharmProjects\apartments-analysis\data\south,"4,500 ₪",3,2,70 ," נווה שאנן, תל אביב יפו ",False,True,True,True
חכמי אתונה ,ers\sara levi\PycharmProjects\apartments-analysis\data\south,"2,800 ₪",1,קרקע,29 ," שפירא, תל אביב יפו ",False,True,True,True
חזקיהו המלך 19,ers\sara levi\PycharmProjects\apartments-analysis\data\south,"5,000 ₪",3,2,50 ," שפירא, תל אביב יפו ",False,True,True,False
השכל 5,ers\sara levi\PycharmProjects\apartments-analysis\data\south,"3,500 ₪",2,1,40 ," התקוה, בית יעקב, נווה צה""ל, תל אביב יפו ",False,True,False,True
ישראל מסלנט 30,ers\sara levi\PycharmProjects\apartments-analysis\data\south,"7,000 ₪",4,1,90 ," שפירא, תל אביב יפו ",False,True,True,False
מבשר 42,ers\sara levi\PycharmProjects\apartments-analysis\data\south,"2,200 ₪",1.5,1,93 ," התקוה, בית יעקב, נווה צה""ל, תל אביב יפו ",False,True,True,True
הקונגרס ,ers\sara levi\PycharmProjects\apartments-analysis\data\south,"7,200 ₪",3.5,3,80 ," נווה שאנן, תל אביב יפו ",True,True,True,False
י.ל. פרץ ,ers\sara levi\PycharmProjects\apartments-analysis\data\south,"5,600 ₪",3,3,60 ," נווה שאנן, תל אביב יפו ",True,True,True,False
קמואל ,ers\sara levi\PycharmProjects\apartments-analysis\data\south,"3,500 ₪",2,1,35 ," התקוה, בית יעקב, נווה צה""ל, תל אביב יפו ",False,True,True,False
י.ל. פרץ ,ers\sara levi\PycharmProjects\apartments-analysis\data\south,"6,499 ₪",4,2,95 ," נווה שאנן, תל אביב יפו ",False,True,True,False
חזנוביץ' ,ers\sara levi\PycharmProjects\apartments-analysis\data\south,"9,000 ₪",4,3,117 ," נווה שאנן, תל אביב יפו ",True,True,False,True
הקונגרס 5,ers\sara levi\PycharmProjects\apartments-analysis\data\south,"7,200 ₪",4,קרקע,92 ," נווה שאנן, תל אביב יפו ",False,True,True,False
עבאס 33,ers\sara levi\PycharmProjects\apartments-analysis\data\south,"1,700 ₪",1,קרקע,15 ," התקוה, בית יעקב, נווה צה""ל, תל אביב יפו ",False,False,True,True
הונא ,ers\sara levi\PycharmProjects\apartments-analysis\data\south,"3,000 ₪",1,קרקע,20 ," התקוה, בית יעקב, נווה צה""ל, תל אביב יפו ",False,True,True,True
דרך מנחם בגין 12,ers\sara levi\PycharmProjects\apartments-analysis\data\south,"2,400 ₪",1,2,36 ," נווה שאנן, תל אביב יפו ",False,True,True,False
יסוד המעלה 31,ers\sara levi\PycharmProjects\apartments-analysis\data\south,"4,600 ₪",2,4,50 ," נווה שאנן, תל אביב יפו ",True,True,False,False
נתן הנביא ,ers\sara levi\PycharmProjects\apartments-analysis\data\south,"1,500 ₪",1,קרקע,30 ," התקוה, בית יעקב, נווה צה""ל, תל אביב יפו ",False,True,False,False
לוינסקי 63,ers\sara levi\PycharmProjects\apartments-analysis\data\south,"4,000 ₪",1,קרקע,20 ," נווה שאנן, תל אביב יפו ",False,True,True,True
